instance_class,n,m,alpha,n_instances,init_feas_uniform_pct,init_feas_hill1999_pct,init_feas_gf_pct,gf_feas_x_better_than_hill,gf_wins_vs_hill_per10,vmax_uniform,vmax_hill1999,vmax_gf,gf_vmax_advantage_vs_hill_pct,mean_attempts_for_init,max_attempts_observed,adaptive_q_mode
mknapcb1,100,5,0.25,10,0.0,7.48,49.86,6.7,10,0.0,19641.0,20039.0,2.03,1.0,1,0.15
mknapcb4,100,10,0.25,10,0.0,15.37,47.89,3.1,10,0.0,18291.0,18439.0,0.81,1.0,1,0.3
mknapcb7,100,30,0.25,10,0.0,25.85,49.4,1.9,10,0.0,17566.0,17568.0,0.01,1.0,1,0.2
mknapcb2,250,5,0.25,10,0.0,1.68,42.66,25.5,10,0.0,47520.0,48677.0,2.44,1.0,1,0.25
mknapcb5,250,10,0.25,10,0.0,6.28,29.28,4.7,9,0.0,46299.0,47224.0,2.0,1.0,1,0.2
mknapcb8,250,30,0.25,10,0.0,18.33,38.78,2.1,9,0.0,45112.0,45235.0,0.27,1.0,1,0.15
mknapcb3,500,5,0.25,10,0.0,0.27,44.77,163.4,10,0.0,92064.0,94730.0,2.9,2.7,5,0.2
mknapcb6,500,10,0.25,10,0.0,2.84,16.33,5.7,9,0.0,92738.0,94345.0,1.73,1.6,3,0.2
mknapcb9,500,30,0.25,10,0.0,11.38,31.82,2.8,9,0.0,90708.0,91050.0,0.38,1.0,1,0.2
mknapcb1,100,5,0.5,10,26.96,13.32,70.76,5.3,10,37577.0,37860.0,37653.0,-0.55,1.0,1,0.4
mknapcb4,100,10,0.5,10,20.06,16.02,68.59,4.3,10,36994.0,37079.0,36935.0,-0.39,1.0,1,0.4
mknapcb7,100,30,0.5,10,12.94,26.81,66.3,2.5,10,35646.0,35859.0,35648.0,-0.59,1.0,1,0.4
mknapcb2,250,5,0.5,10,26.68,7.68,70.71,9.2,10,94627.0,94397.0,94618.0,0.23,1.0,1,0.55
mknapcb5,250,10,0.5,10,19.62,11.46,68.43,6.0,10,93444.0,93454.0,93304.0,-0.16,1.0,1,0.55
mknapcb8,250,30,0.5,10,12.95,20.7,66.38,3.2,10,91293.0,91352.0,91032.0,-0.35,1.0,1,0.55
mknapcb3,500,5,0.5,10,26.34,2.52,69.47,27.6,10,188715.0,187866.0,188471.0,0.32,1.0,1,0.4
mknapcb6,500,10,0.5,10,19.96,7.37,70.65,9.6,10,185898.0,185626.0,185936.0,0.17,1.0,1,0.55
mknapcb9,500,30,0.5,10,12.56,14.96,71.43,4.8,10,183818.0,183897.0,183453.0,-0.24,1.0,1,0.55
mknapcb1,100,5,0.75,10,100.0,16.37,100.0,6.1,10,52422.0,56581.0,52422.0,-7.35,1.0,1,0.65
mknapcb4,100,10,0.75,10,99.99,22.25,99.99,4.5,10,51568.0,55406.0,51568.0,-6.93,1.0,1,0.65
mknapcb7,100,30,0.75,10,99.98,28.63,99.98,3.5,10,51544.0,54891.0,51544.0,-6.1,1.0,1,0.65
mknapcb2,250,5,0.75,10,100.0,12.61,100.0,7.9,10,114977.0,140720.0,114977.0,-18.29,1.0,1,0.65
mknapcb5,250,10,0.75,10,100.0,16.91,100.0,5.9,10,115167.0,140121.0,115167.0,-17.81,1.0,1,0.65
mknapcb8,250,30,0.75,10,100.0,23.83,100.0,4.2,10,115298.0,138310.0,115298.0,-16.64,1.0,1,0.65
mknapcb3,500,5,0.75,10,100.0,5.88,100.0,17.0,10,217536.0,279969.0,217536.0,-22.3,1.0,1,0.65
mknapcb6,500,10,0.75,10,100.0,10.81,100.0,9.3,10,218979.0,279201.0,218979.0,-21.57,1.0,1,0.65
mknapcb9,500,30,0.75,10,100.0,18.87,100.0,5.3,10,219362.0,278246.0,219362.0,-21.16,1.0,1,0.65
